Время; ЛинX; ЛинY; ЛинZ; УглX; УглY; УглZ; Крен; Тангаж; Рыск; Север; Восток; Высота; СигналGPS 
2021-03-26 18:30:26.179891;-0.19634240865707397;-0.15331371128559115;9.81587314605713;-0.0007852912531234325;-0.004321335814893246;-0.006547570694237948;-0.7132579684257508;1.1671996116638184;57.00639343261719;6187062.55;383136.904;1;EHT+106.435;
2021-03-26 18:30:27.179836;-0.23021553456783297;-0.14541111886501315;9.830790519714357;0.0008508563623763622;0.0012218953343108299;-0.0046193599700927734;-0.7209042310714722;1.1755990982055664;57.020946502685554;6187065.55;383136.772;1;EHT+109.901;
2021-03-26 18:30:28.179781;-0.19517698884010315;-0.15200008451938632;9.81862545013428;-0.0007599593955092133;-0.0008597971755079926;-0.0030830507166683674;-0.716643512248993;1.1860440969467165;57.03039932250977;6187063.95;383136.177;1;EHT+107.961;
2021-03-26 18:30:29.179725;-0.21391986310482028;-0.14795254170894626;9.823952674865724;0.0006392598152160645;0.0033408403396606445;0.0005543232546187938;-0.7257543206214906;1.1809569597244265;57.03697967529297;6187060.657;383135.984;1;EHT+103.918;
2021-03-26 18:30:30.179669;-0.19368061423301697;-0.15607932209968567;9.839892387390138;0.005888938903808594;-0.007203222252428532;-0.0008642675238661469;-0.715014398097992;1.1879051923751833;57.04756164550781;6187056.567;383135.561;1;EHT+98.738;
2021-03-26 18:30:31.179604;-0.1843657344579697;-0.14646013081073764;9.831893920898438;0.0019997358322143555;-0.0013142824172973633;-0.0023365023080259566;-0.7178894281387329;1.1853892803192139;57.053428649902344;6187056.625;383134.981;1;EHT+98.486;
2021-03-26 18:30:32.179558;-0.20442554354667664;-0.1535417288541794;9.853246688842773;0.0007048249244689941;-0.005596876610070468;0.0006690621376037598;-0.7254787683486938;1.176856875419617;57.06327438354493;6187057.603;383134.701;1;EHT+99.705;
2021-03-26 18:30:33.179501;-0.18708336353302002;-0.15061074495315552;9.83456802368164;0.00025480988551862543;0.002582371700555086;-0.004334749188274146;-0.7205309867858887;1.160090446472168;57.07199478149415;6187054.087;383134.616;1;EHT+96.465;
2021-03-26 18:30:34.179450;-0.2111567705869675;-0.17126114666461947;9.8399133682251;0.0010102988453581931;-0.005514919757843018;-0.00020563606813084337;-0.7120431065559388;1.1595598459243777;57.099079132080085;6187051.042;383134.17;1;EHT+93.509;
2021-03-26 18:30:35.179388;-0.20587468147277832;-0.14940863847732544;9.841306686401367;-0.003029405605047941;-0.0048175458796322354;-0.0012427568435668945;-0.7170798778533936;1.1623265743255615;57.113319396972656;6187045.896;383133.924;1;EHT+87.999;
2021-03-26 18:30:36.179338;-0.1964530050754547;-0.15347455441951754;9.849220275878906;-0.0014275311259552839;-0.0009119511232711376;0.001697242259979248;-0.732200026512146;1.1592055559158327;57.13172912597656;6187041.926;383133.698;1;EHT+83.347;
2021-03-26 18:30:37.179272;-0.1895657926797867;-0.15058650076389316;9.842458724975586;0.004360079299658538;-0.0019282101420685651;-0.0027999277226626873;-0.7212900519371034;1.1699010133743288;57.14018630981446;6187042.709;383133.815;1;EHT+83.998;
2021-03-26 18:30:38.179226;-0.19102548062801364;-0.16568699479103088;9.843826293945312;0.004938246216624976;0.0028595335315912966;-0.0006839634152129292;-0.7287012338638306;1.1716390848159792;57.16460418701172;6187040.452;383133.255;1;EHT+81.613;
2021-03-26 18:30:39.179168;-0.21113446354866028;-0.16177143156528476;9.855913162231445;0.0019744040910154585;-0.007158517837524414;0.0011175870895385742;-0.7460452914237977;1.1588332653045654;57.15691375732422;6187037.909;383133.292;1;EHT+78.936;
2021-03-26 18:30:40.179113;-0.1842877119779587;-0.15203335881233215;9.846522331237795;-0.0014007091522216797;-0.00399649189785123;-0.0023365023080259566;-0.7574565410614014;1.1540453433990479;57.16196823120118;6187032.38;383133.326;1;EHT+72.887;
2021-03-26 18:30:41.179057;-0.19920435547828674;-0.1329253613948822;9.838667869567873;0.0028342008590698242;-0.0036686656530946497;0.0015631315764039755;-0.7739122509956361;1.1479188203811648;57.188941955566406;6187029.219;383133.262;1;EHT+69.566;
2021-03-26 18:30:42.179003;-0.18839073181152344;-0.16153186559677124;9.831859588623047;0.002644956344738603;-0.00045746564865112305;-0.00580698298290372;-0.7893776893615723;1.1477576494216921;57.20683288574219;6187025.181;383133.401;1;EHT+65.901;
2021-03-26 18:30:43.178944;-0.2113373875617981;-0.13845282793045044;9.841359138488771;0.0018805265426635742;-0.0007957220659591259;-0.003293156623840332;-0.8019284009933472;1.1321753263473513;57.230072021484375;6187052.164;383136.499;1;EHT+96.226;
2021-03-26 18:30:44.178894;-0.20578913390636447;-0.16441528499126437;9.84922504425049;0.0030785799026489258;-0.00539571000263095;-0.0003337859525345266;-0.8061211109161377;1.1147407293319704;57.243011474609375;6187051.983;383136.592;1;EHT+97.022;
2021-03-26 18:30:45.178837;-0.19632694125175476;-0.15758760273456576;9.854529380798342;0.0016048551769927146;-0.008332728408277036;-0.005386768840253353;-0.8237182497978212;1.115875005722046;57.250343322753906;6187049.078;383136.351;1;EHT+93.989;
2021-03-26 18:30:46.178782;-0.1962528079748154;-0.16835178434848788;9.830454826354982;0.00328272650949657;-0.00460892915725708;-0.003378093708306551;-0.8394342660903931;1.1222945451736452;57.266456604003906;6187043.058;383136.121;1;EHT+86.165;
2021-03-26 18:30:47.178726;-0.20446898043155673;-0.1423945426940918;9.819938659667969;0.0017866495763882997;-0.003315508831292391;-0.0023052096366882324;-0.8526418209075928;1.123399615287781;57.27843475341797;6187046.559;383136.573;1;EHT+90.893;
2021-03-26 18:30:48.188733;-0.20314031839370728;-0.16160401701927185;9.841241836547852;0.004528463352471591;-0.001074373722076416;-0.004060566425323486;-0.8543863296508789;1.1050786972045898;57.295204162597656;6187045.552;383136.68;1;EHT+90.782;
2021-03-26 18:30:49.188675;-0.18161420524120334;-0.14645901322364807;9.830556869506836;0.0023052098695188765;-0.006546080112457275;-0.00327378511428833;-0.8516119122505189;1.1021230220794678;57.30604553222656;6187041.862;383136.123;1;EHT+87.204;
2021-03-26 18:30:50.188620;-0.20450349152088168;-0.15074028074741366;9.843940734863281;0.0019669532775878906;-0.002881884807720781;-0.001691281795501709;-0.8742974400520326;1.103818655014038;57.32036972045899;6187047.04;383137.143;1;EHT+92.191;
2021-03-26 18:30:51.188555;-0.19514901936054233;-0.1573624610900879;9.818609237670898;0.004754960536956787;0.0007465482340194286;-0.0076010823249816895;-0.8885473608970643;1.109088659286499;57.323402404785156;6187052.548;383136.833;1;EHT+98.871;
2021-03-26 18:30:52.188502;-0.18969930708408358;-0.15189664065837863;9.830568313598633;0.005842745304107666;-0.005006790626794101;-0.0014528632164001465;-0.8936936855316162;1.1061583757400515;57.34717178344727;6187051.208;383136.66;1;EHT+96.694;
